Metric,Default Summation,Aligned-MTL (Median-Scaled),Aligned-MTL (Min-Scaled),STCH (μ = 0.0005),UGrad
total_transcripts*,0.4330070493454179,0.43842799597180265,0.4147982544478013,0.3917197045988587,1.0
total_genes*,0.989845528955628,1.0,0.969511410492394,0.9445895971220608,0.8406111704776239
cell_area*,1.0,0.9915741392772119,0.944806942373112,0.9022563989098822,0.49889264979012465
elongation,0.9766813942071675,0.9712812960235643,1.0,0.9786450662739323,0.8040007470050283
compactness*,0.9465152005174644,0.9259783311772316,1.0,0.9993127425614489,2.747691410958999e-07
sphericity,0.8742012959592643,0.8753747205175991,0.8742012959592644,0.8747880082384318,1.0
solidity,0.9924647544968401,0.9807972775887215,1.0,0.9868740884783666,0.9372018234586565
convexity,0.9980640998064102,0.99505269950527,1.0,0.99827919982792,0.9411738262629825
circularity*,0.9586908690869087,0.9498716538320499,1.0,0.9918775210854419,4.269006352640366e-09
density*,0.38772665870296064,0.36506312767283067,0.3737551069031362,0.4126758583455041,1.0
